run_at,city,station,market_date,market_type,market_id,event_key,bucket_type,bucket_value,bucket_low,bucket_high,model_probability,market_probability,entry_price,entry_source,fee_rate,fee_per_share,gross_edge,net_ev_per_share,forecast_count,forecast_models,forecast_mean_c,forecast_sigma_c,calibration_source,calibration_samples,calibration_bias_c,calibration_sigma_c,calibration_flag,calibration_lead_days,family_probability_sum,family_status,execution_quality,signal,reason
2026-09-11T16:03:48.678004+00:00,Warsaw,EPWA,2026-09-12,highest_temperature,4431344,warsaw|2026_09_12|highest_temperature|c|epwa,exact,17.0,17.0,17.0,0.157344,0.03,0.04,ask,0.05,0.00192,0.117344,0.115424,1,ecmwf,18.4921,1.2101,station_model_lead_max,89,0.2921,1.2101,OK,1,0.993293,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.656627+00:00,London,EGLC,2026-09-11,lowest_temperature,4399123,london|2026_09_11|lowest_temperature|c|eglc,exact,15.0,15.0,15.0,0.134033,0.011,0.02,ask,0.05,0.00098,0.114033,0.113053,1,ecmwf,16.3292,0.7786,station_model_lead_min,89,0.2292,0.7786,OK,1,0.999977,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.675187+00:00,Paris,LFPB,2026-09-12,highest_temperature,4431194,paris|2026_09_12|highest_temperature|c|lfpb,exact,23.0,23.0,23.0,0.140335,0.02,0.03,ask,0.05,0.001455,0.110335,0.10888,1,ecmwf,24.5225,1.0704,station_model_lead_max,89,1.0225,1.0704,OK,1,0.999913,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.690087+00:00,Wellington,NZWN,2026-09-13,highest_temperature,4461670,wellington|2026_09_13|highest_temperature|c|nzwn,exact,13.0,13.0,13.0,0.148918,0.03,0.04,ask,0.05,0.00192,0.108918,0.106998,1,ecmwf,14.4216,0.9828,station_model_lead_max,88,0.8216,0.9828,OK,2,0.999967,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.675450+00:00,Seoul (Incheon),RKSI,2026-09-12,highest_temperature,4431205,seoul_incheon|2026_09_12|highest_temperature|c|rksi,exact,22.0,22.0,22.0,0.113983,0.006,0.009,ask,0.05,0.00044595,0.104983,0.104537,1,ecmwf,23.8614,1.3137,station_model_lead_max,88,1.1614,1.3137,OK,1,0.999343,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.676783+00:00,Tokyo,RJTT,2026-09-12,highest_temperature,4431276,tokyo|2026_09_12|highest_temperature|c|rjtt,exact,26.0,26.0,26.0,0.164439,0.05,0.06,ask,0.05,0.00282,0.104439,0.101619,1,ecmwf,24.5625,2.0362,station_model_lead_max,88,-0.7375,2.0362,OK,1,0.923981,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.693600+00:00,Kuala Lumpur,WMKK,2026-09-13,highest_temperature,4461924,kuala_lumpur|2026_09_13|highest_temperature|c|wmkk,exact,34.0,34.0,34.0,0.256285,0.135,0.15,ask,0.05,0.006375,0.106285,0.09991,1,ecmwf,33.1875,1.2425,station_model_lead_max,88,1.7875,1.2425,OK,2,0.996159,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.676494+00:00,Munich,EDDM,2026-09-12,highest_temperature,4431252,munich|2026_09_12|highest_temperature|c|eddm,exact,25.0,25.0,25.0,0.103583,0.0035,0.004,ask,0.05,0.0001992,0.099583,0.099384,1,ecmwf,23.0079,1.3628,station_model_lead_max,89,1.8079,1.3628,OK,1,0.994945,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.683594+00:00,Paris,LFPB,2026-09-13,lowest_temperature,4461045,paris|2026_09_13|lowest_temperature|c|lfpb,exact,12.0,12.0,12.0,0.140792,0.035,0.04,ask,0.05,0.00192,0.100792,0.098872,1,ecmwf,13.6775,1.409,station_model_lead_min,89,-0.3225,1.409,OK,2,0.998176,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.661381+00:00,London,EGLC,2026-09-11,highest_temperature,4399953,london|2026_09_11|highest_temperature|c|eglc,exact,22.0,22.0,22.0,0.223036,0.105,0.12,ask,0.05,0.00528,0.103036,0.097756,1,ecmwf,20.9472,1.2335,station_model_lead_max,89,-0.0528,1.2335,OK,1,0.999732,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.669912+00:00,Ankara,LTAC,2026-09-12,lowest_temperature,4430376,ankara|2026_09_12|lowest_temperature|c|ltac,exact,15.0,15.0,15.0,0.23273,0.065,0.13,ask,0.05,0.005655,0.10273,0.097075,1,ecmwf,15.9697,1.2724,station_model_lead_min,89,-0.8303,1.2724,OK,1,0.996797,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.680287+00:00,Karachi,OPKC,2026-09-12,highest_temperature,4431541,karachi|2026_09_12|highest_temperature|c|opkc,or_higher,36.0,36.0,,0.356198,0.24,0.25,ask,0.05,0.009375,0.106198,0.096823,1,ecmwf,35.1135,1.0485,station_model_lead_max,89,-0.8865,1.0485,OK,1,0.643802,INCOMPLETE,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.693609+00:00,Kuala Lumpur,WMKK,2026-09-13,highest_temperature,4461925,kuala_lumpur|2026_09_13|highest_temperature|c|wmkk,exact,35.0,35.0,35.0,0.114488,0.015,0.02,ask,0.05,0.00098,0.094488,0.093508,1,ecmwf,33.1875,1.2425,station_model_lead_max,88,1.7875,1.2425,OK,2,0.996159,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.677770+00:00,Madrid,LEMD,2026-09-12,highest_temperature,4431335,madrid|2026_09_12|highest_temperature|c|lemd,exact,31.0,31.0,31.0,0.414011,0.305,0.31,ask,0.05,0.010695,0.104011,0.093316,1,ecmwf,31.4832,0.75,station_model_lead_max,89,0.1832,0.75,OK,1,1.0,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.669441+00:00,Paris,LFPB,2026-09-12,lowest_temperature,4430357,paris|2026_09_12|lowest_temperature|c|lfpb,exact,14.0,14.0,14.0,0.19286,0.075,0.1,ask,0.05,0.0045,0.09286,0.08836,1,ecmwf,12.7449,1.2449,station_model_lead_min,89,-0.2551,1.2449,OK,1,0.999608,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
