collected_at,station,market_date,model,timezone,forecast_target,temperature_max_c,temperature_min_c,forecast_url
2026-09-10T20:14:20.424335+00:00,EHAM,2026-09-11,gfs,Europe/Amsterdam,2026-09-11,20.8,13.9,https://api.open-meteo.com/v1/gfs?latitude=52.315&longitude=4.79&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:20.424340+00:00,EHAM,2026-09-12,gfs,Europe/Amsterdam,2026-09-12,21.5,12.8,https://api.open-meteo.com/v1/gfs?latitude=52.315&longitude=4.79&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:21.195308+00:00,EPWA,2026-09-10,open_meteo_best_match,Europe/Warsaw,2026-09-10,20.1,14.0,https://api.open-meteo.com/v1/forecast?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:21.195327+00:00,EPWA,2026-09-11,open_meteo_best_match,Europe/Warsaw,2026-09-11,18.1,11.2,https://api.open-meteo.com/v1/forecast?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:21.195331+00:00,EPWA,2026-09-12,open_meteo_best_match,Europe/Warsaw,2026-09-12,20.7,11.7,https://api.open-meteo.com/v1/forecast?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:22.136440+00:00,EPWA,2026-09-10,ecmwf,Europe/Warsaw,2026-09-10,17.8,12.1,https://api.open-meteo.com/v1/ecmwf?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:22.136460+00:00,EPWA,2026-09-11,ecmwf,Europe/Warsaw,2026-09-11,16.4,9.4,https://api.open-meteo.com/v1/ecmwf?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:22.136465+00:00,EPWA,2026-09-12,ecmwf,Europe/Warsaw,2026-09-12,18.7,11.6,https://api.open-meteo.com/v1/ecmwf?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:22.896205+00:00,EPWA,2026-09-10,gfs,Europe/Warsaw,2026-09-10,19.6,13.7,https://api.open-meteo.com/v1/gfs?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:22.896228+00:00,EPWA,2026-09-11,gfs,Europe/Warsaw,2026-09-11,18.1,11.6,https://api.open-meteo.com/v1/gfs?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:22.896232+00:00,EPWA,2026-09-12,gfs,Europe/Warsaw,2026-09-12,20.2,11.1,https://api.open-meteo.com/v1/gfs?latitude=52.163&longitude=20.961&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:23.675202+00:00,FACT,2026-09-10,open_meteo_best_match,Africa/Johannesburg,2026-09-10,19.1,13.9,https://api.open-meteo.com/v1/forecast?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:23.675220+00:00,FACT,2026-09-11,open_meteo_best_match,Africa/Johannesburg,2026-09-11,23.0,14.6,https://api.open-meteo.com/v1/forecast?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:23.675224+00:00,FACT,2026-09-12,open_meteo_best_match,Africa/Johannesburg,2026-09-12,21.4,15.2,https://api.open-meteo.com/v1/forecast?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:24.424803+00:00,FACT,2026-09-10,ecmwf,Africa/Johannesburg,2026-09-10,19.3,15.0,https://api.open-meteo.com/v1/ecmwf?latitude=-33.965&longitude=18.602&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
