collected_at,station,observation_time,temperature_c,dewpoint_c,wind_speed_kt,raw_text,source
2026-09-10T21:49:05.351197+00:00,KMIA,2026-09-10T21:00:00.000Z,29.4,23.9,3.0,METAR KMIA 102053Z 18003KT 10SM FEW025 SCT180 OVC250 29/24 A3000 RMK AO2 SLP157 60001 T02940239 56029,AviationWeather.gov METAR
2026-09-10T21:49:05.351201+00:00,KORD,2026-09-10T21:00:00.000Z,25.0,10.6,4.0,METAR KORD 102051Z 07004KT 10SM FEW050 BKN250 25/11 A3001 RMK AO2 SLP156 T02500106 56014,AviationWeather.gov METAR
2026-09-10T21:49:05.351204+00:00,KSEA,2026-09-10T21:00:00.000Z,20.0,12.2,6.0,METAR KSEA 102053Z 31006KT 10SM FEW025 SCT042 BKN050 BKN240 20/12 A3003 RMK AO2 SLP173 T02000122 56008 $,AviationWeather.gov METAR
2026-09-10T21:49:05.351208+00:00,KSFO,2026-09-10T21:00:00.000Z,28.9,12.2,12.0,METAR KSFO 102056Z 31012KT 10SM FEW200 29/12 A2995 RMK AO2 SLP141 T02890122 58012 $,AviationWeather.gov METAR
2026-09-10T21:49:05.351211+00:00,LEMD,2026-09-10T21:30:00.000Z,20.0,-1.0,3.0,METAR LEMD 102130Z 36003KT CAVOK 20/M01 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351215+00:00,LFPB,2026-09-10T21:30:00.000Z,14.0,8.0,1.0,METAR LFPB 102130Z AUTO 35001KT CAVOK 14/08 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351218+00:00,LIMC,2026-09-10T21:20:00.000Z,19.0,17.0,4.0,METAR LIMC 102120Z 07004KT 9999 -RA BKN050 19/17 Q1015 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351221+00:00,LTAC,2026-09-10T21:20:00.000Z,17.0,4.0,3.0,METAR LTAC 102120Z 03003KT CAVOK 17/04 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351224+00:00,MMMX,2026-09-10T21:45:00.000Z,23.0,11.0,15.0,SPECI MMMX 102145Z 02015KT 6SM VCRA BKN020CB BKN080 OVC220 23/11 A3027 TEMPO 5SM TSRA RMK 8/963 HZY BINOVC VSBY LWR PCPN N NW,AviationWeather.gov METAR
2026-09-10T21:49:05.351228+00:00,MPMG,2026-09-10T21:00:00.000Z,29.0,26.0,5.0,METAR MPMG 102100Z 31005KT 280V340 9000 VCSH SCT016CB SCT080 29/26 Q1007 RETSRA TEMPO TS,AviationWeather.gov METAR
2026-09-10T21:49:05.351231+00:00,NZWN,2026-09-10T21:30:00.000Z,11.0,5.0,16.0,METAR NZWN 102130Z AUTO 35016KT 320V020 9999 SCT031/// 11/05 Q1006,AviationWeather.gov METAR
2026-09-10T21:49:05.351234+00:00,OEJN,2026-09-10T21:00:00.000Z,32.0,27.0,6.0,METAR OEJN 102100Z 31006KT 9999 SCT040 32/27 Q1006 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351238+00:00,OPKC,2026-09-10T21:30:00.000Z,27.0,23.0,3.0,METAR OPKC 102130Z 26003KT 4000 HZ SCT020 27/23 Q1008 NOSIG,AviationWeather.gov METAR
