trade_id,opened_at,market_id,event_key,city,station,market_date,market_type,bucket_type,bucket_value,bucket_low,bucket_high,entry_price,shares,stake,model_probability,gross_edge,net_ev_per_share,fee_rate,fee_per_share,signal,status,resolved_at,result,payout,pnl,roi,resolution_source,resolution_note
paper-000011,2026-09-11T16:03:48.656907+00:00,4399130,paris|2026_09_11|lowest_temperature|c|lfpb,Paris,LFPB,2026-09-11,lowest_temperature,exact,11.0,11.0,11.0,0.025,400.0,10.0,0.230493,0.205493,0.204274,0.05,0.00121875,PAPER_BUY,OPEN,,,,,,,
paper-000012,2026-09-11T16:03:48.676246+00:00,4431241,lucknow|2026_09_12|highest_temperature|c|vilk,Lucknow,VILK,2026-09-12,highest_temperature,exact,32.0,32.0,32.0,0.09,111.11111111111111,10.0,0.292574,0.202574,0.198479,0.05,0.004095,PAPER_BUY,OPEN,,,,,,,
paper-000013,2026-09-11T16:03:48.694333+00:00,4461980,karachi|2026_09_13|highest_temperature|c|opkc,Karachi,OPKC,2026-09-13,highest_temperature,exact,39.0,39.0,39.0,0.14,71.42857142857142,10.0,0.342422,0.202422,0.196402,0.05,0.00602,PAPER_BUY,OPEN,,,,,,,
paper-000014,2026-09-11T16:03:48.690097+00:00,4461671,wellington|2026_09_13|highest_temperature|c|nzwn,Wellington,NZWN,2026-09-13,highest_temperature,exact,14.0,14.0,14.0,0.16,62.5,10.0,0.357618,0.197618,0.190898,0.05,0.00672,PAPER_BUY,OPEN,,,,,,,
paper-000015,2026-09-11T16:03:48.694342+00:00,4461981,karachi|2026_09_13|highest_temperature|c|opkc,Karachi,OPKC,2026-09-13,highest_temperature,exact,40.0,40.0,40.0,0.02,500.0,10.0,0.211037,0.191037,0.190057,0.05,0.00098,PAPER_BUY,OPEN,,,,,,,
paper-000016,2026-09-11T16:03:48.669179+00:00,4430344,london|2026_09_12|lowest_temperature|c|eglc,London,EGLC,2026-09-12,lowest_temperature,exact,12.0,12.0,12.0,0.08,125.0,10.0,0.25752,0.17752,0.17384,0.05,0.00368,PAPER_BUY,OPEN,,,,,,,
paper-000017,2026-09-11T16:03:48.664856+00:00,4400227,amsterdam|2026_09_11|highest_temperature|c|eham,Amsterdam,EHAM,2026-09-11,highest_temperature,exact,22.0,22.0,22.0,0.004,2500.0,10.0,0.176083,0.172083,0.171884,0.05,0.0001992,PAPER_BUY,OPEN,,,,,,,
paper-000018,2026-09-11T16:03:48.679001+00:00,4431459,amsterdam|2026_09_12|highest_temperature|c|eham,Amsterdam,EHAM,2026-09-12,highest_temperature,exact,20.0,20.0,20.0,0.07,142.85714285714283,10.0,0.245091,0.175091,0.171836,0.05,0.003255,PAPER_BUY,OPEN,,,,,,,
paper-000019,2026-09-11T16:03:48.675460+00:00,4431206,seoul_incheon|2026_09_12|highest_temperature|c|rksi,Seoul (Incheon),RKSI,2026-09-12,highest_temperature,exact,23.0,23.0,23.0,0.07,142.85714285714283,10.0,0.241753,0.171753,0.168498,0.05,0.003255,PAPER_BUY,OPEN,,,,,,,
paper-000020,2026-09-11T16:03:48.677528+00:00,4431326,milan|2026_09_12|highest_temperature|c|limc,Milan,LIMC,2026-09-12,highest_temperature,exact,24.0,24.0,24.0,0.07,142.85714285714283,10.0,0.23908,0.16908,0.165825,0.05,0.003255,PAPER_BUY,OPEN,,,,,,,
