POLYMARKET WEATHER CALIBRATION BOOTSTRAP V1.1
NO TRADING

UTC: 2026-09-11T14:26:41.952535+00:00

Stations: 45
Models: 1
History days: 90
Forecast rows: 28350
Ground truth rows: 4050
Matched rows: 28350
Calibration groups: 315

Ground truth source: Open-Meteo ERA5 reanalysis.
This is historical verification data, not literal METAR observations.

CALIBRATION GROUPS

KAUS | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.390C | min_rmse=1.318C | max_bias=-0.562C | max_rmse=1.875C
KAUS | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.321C | min_rmse=1.348C | max_bias=-0.624C | max_rmse=2.011C
KBKF | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.721C | min_rmse=1.240C | max_bias=-0.012C | max_rmse=1.252C
KBKF | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.906C | min_rmse=1.481C | max_bias=0.137C | max_rmse=1.770C
KBKF | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.851C | min_rmse=1.635C | max_bias=0.258C | max_rmse=1.804C
KBKF | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.940C | min_rmse=1.702C | max_bias=-0.151C | max_rmse=2.034C
KBKF | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.910C | min_rmse=1.841C | max_bias=-0.388C | max_rmse=2.609C
KBKF | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.612C | min_rmse=2.006C | max_bias=0.276C | max_rmse=3.015C
KBKF | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.457C | min_rmse=2.126C | max_bias=0.020C | max_rmse=3.605C
KDAL | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.507C | min_rmse=0.876C | max_bias=-0.359C | max_rmse=1.423C
KDAL | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.734C | min_rmse=1.091C | max_bias=-0.503C | max_rmse=1.529C
KDAL | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.912C | min_rmse=1.449C | max_bias=-0.754C | max_rmse=1.696C
KDAL | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-1.006C | min_rmse=1.579C | max_bias=-0.903C | max_rmse=1.935C
KDAL | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-1.131C | min_rmse=1.745C | max_bias=-1.211C | max_rmse=2.394C
KDAL | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.914C | min_rmse=1.766C | max_bias=-0.710C | max_rmse=2.253C
KDAL | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.929C | min_rmse=1.844C | max_bias=-0.756C | max_rmse=2.377C
KHOU | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.476C | min_rmse=0.843C | max_bias=-0.596C | max_rmse=1.267C
KHOU | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.491C | min_rmse=0.862C | max_bias=-0.610C | max_rmse=1.456C
KHOU | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.499C | min_rmse=0.897C | max_bias=-0.589C | max_rmse=1.537C
KHOU | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.637C | min_rmse=1.164C | max_bias=-0.883C | max_rmse=1.782C
KHOU | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.699C | min_rmse=1.217C | max_bias=-0.821C | max_rmse=1.996C
KHOU | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.496C | min_rmse=1.027C | max_bias=-0.621C | max_rmse=1.904C
KHOU | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.492C | min_rmse=1.144C | max_bias=-0.703C | max_rmse=1.796C
KLAX | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.904C | min_rmse=1.180C | max_bias=-6.238C | max_rmse=6.505C
KLAX | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.931C | min_rmse=1.279C | max_bias=-6.446C | max_rmse=6.700C
KLAX | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.990C | min_rmse=1.387C | max_bias=-6.611C | max_rmse=6.847C
KLAX | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-1.086C | min_rmse=1.601C | max_bias=-6.869C | max_rmse=7.127C
KLAX | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-1.066C | min_rmse=1.585C | max_bias=-6.959C | max_rmse=7.260C
KLAX | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.809C | min_rmse=1.607C | max_bias=-5.632C | max_rmse=5.905C
KLAX | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.837C | min_rmse=1.595C | max_bias=-5.593C | max_rmse=5.938C
KLGA | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.268C | min_rmse=0.853C | max_bias=-0.357C | max_rmse=1.318C
KLGA | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.190C | min_rmse=1.007C | max_bias=-0.299C | max_rmse=1.582C
KLGA | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.251C | min_rmse=1.247C | max_bias=-0.358C | max_rmse=1.702C
KLGA | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.472C | min_rmse=1.495C | max_bias=-0.570C | max_rmse=1.975C
